ESPECE	x.2001	x.2002	x.2003	x.2004	x.2005	x.2006	x.2007	x.2008	x.2009	x.2010	x.2011	x.2012	x.2013	x.2014	x.2015	x.2016
ACRSCH	18	25	11	12	13	22	17	24	16	34	31	14	16	40	47	47
ACRSCI	64	104	111	119	201	195	233	223	213	210	189	195	202	232	179	170
CETCET	15	26	29	28	29	28	43	52	44	53	32	22	31	45	61	81
ERIRUB	46	59	90	108	84	65	107	129	108	104	123	101	102	130	129	147
HIPPOL	8	6	24	36	43	57	47	41	68	66	65	100	101	74	59	69
LUSMEG	25	46	65	77	99	97	111	116	136	138	122	135	116	122	110	84
PARMAJ	18	21	41	62	63	54	67	105	91	98	87	82	78	66	64	58
PHYCOL	57	99	161	195	70	57	113	171	98	103	130	148	168	142	125	157
PHYLUS	10	20	32	44	38	28	68	67	71	45	51	46	38	27	33	26
PRUMOD	36	62	111	126	112	93	126	169	128	140	132	153	114	110	90	117
SYLATR	90	170	212	289	278	233	333	349	285	353	345	472	310	299	298	236
SYLBOR	22	57	70	87	64	55	116	110	85	97	97	90	79	79	76	92
SYLCOM	29	65	51	75	57	53	76	108	102	94	128	110	95	80	107	112
TROTRO	22	33	45	45	41	29	39	51	42	59	44	41	39	45	41	29
TURMER	68	159	189	265	212	171	238	331	247	282	283	253	222	246	235	228
TURPHI	13	27	45	41	61	30	42	51	42	51	45	36	35	42	45	4
